# MB8861 opcode cycle table extracted from pyjr100emu (compatibility baseline)
# opcode cycles handler
01 2 _opcode_nop
06 2 _opcode_tap
07 2 _opcode_tpa
08 4 _opcode_inx
09 4 _opcode_dex
0A 2 _opcode_clv
0B 2 _opcode_sev
0C 2 _opcode_clc
0D 2 _opcode_sec
0E 2 _opcode_cli
0F 2 _opcode_sei
10 2 _opcode_sba
11 2 _opcode_cba
16 2 _opcode_tab
17 2 _opcode_tba
19 2 _opcode_daa
1B 2 _opcode_aba
20 4 _opcode_bra
22 4 _opcode_bhi
23 4 _opcode_bls
24 4 _opcode_bcc
25 4 _opcode_bcs
26 4 _opcode_bne
27 4 _opcode_beq
28 4 _opcode_bvc
29 4 _opcode_bvs
2A 4 _opcode_bpl
2B 4 _opcode_bmi
2C 4 _opcode_bge
2D 4 _opcode_blt
2E 4 _opcode_bgt
2F 4 _opcode_ble
30 4 _opcode_tsx
31 4 _opcode_ins
32 4 _opcode_pula
33 4 _opcode_pulb
34 4 _opcode_des
35 4 _opcode_txs
36 4 _opcode_psha
37 4 _opcode_pshb
40 2 _opcode_nega
43 2 _opcode_coma
44 2 _opcode_lsra
46 2 _opcode_rora
47 2 _opcode_asra
48 2 _opcode_asla
49 2 _opcode_rola
4A 2 _opcode_deca
4C 2 _opcode_inca
4D 2 _opcode_tsta
4F 2 _opcode_clra
50 2 _opcode_negb
53 2 _opcode_comb
54 2 _opcode_lsrb
56 2 _opcode_rorb
57 2 _opcode_asrb
58 2 _opcode_aslb
59 2 _opcode_rolb
5A 2 _opcode_decb
5C 2 _opcode_incb
5D 2 _opcode_tstb
5F 2 _opcode_clrb
60 7 _opcode_neg_ind
63 7 _opcode_com_ind
64 7 _opcode_lsr_ind
66 7 _opcode_ror_ind
67 7 _opcode_asr_ind
68 7 _opcode_asl_ind
69 7 _opcode_rol_ind
6A 7 _opcode_dec_ind
6C 7 _opcode_inc_ind
6D 7 _opcode_tst_ind
6E 4 _opcode_jmp_ind
6F 7 _opcode_clr_ind
70 6 _opcode_neg_ext
71 8 _opcode_nim_ind
72 8 _opcode_oim_ind
73 6 _opcode_com_ext
74 6 _opcode_lsr_ext
75 8 _opcode_xim_ind
76 6 _opcode_ror_ext
77 6 _opcode_asr_ext
78 6 _opcode_asl_ext
79 6 _opcode_rol_ext
7A 6 _opcode_dec_ext
7B 7 _opcode_tmm_ind
7C 6 _opcode_inc_ext
7D 6 _opcode_tst_ext
7E 3 _opcode_jmp_ext
7F 6 _opcode_clr_ext
80 2 _opcode_suba_imm
81 2 _opcode_cmpa_imm
82 2 _opcode_sbca_imm
84 2 _opcode_anda_imm
